"cell_id","group"
"abcomhog-1","PTS2"
"abconkco-1","CNT"
"abcpbbpf-1","PTS2"
"abcpcadm-1","PTS2"
"abcpgpei-1","PTS2"
"abdbapkb-1","PTS2"
"abdbepkk-1","PTS2"
"abdbpcgc-1","PTS2"
"abdchfdk-1","PTS2"
"abdcknob-1","PTS2"
"abdcnbbn-1","PTS2"
"abddalld-1","PTS2"
"abddedpf-1","PTS2"
"abddfmeg-1","PTS2"
"abddhobn-1","PTS2"
"abddmhae-1","PTS2"
"abddoaba-1","PTS2"
"abddohhe-1","PTS2"
"abdfihgo-1","PTS2"
"abdggdpc-1","PTS2"
"abdgoafj-1","PTS2"
"abdhajin-1","PTS2"
"abdhakgn-1","PTS2"
"abdheipn-1","PTS2"
"abdhjiik-1","PTS2weak"
"abdhobbe-1","PTS2"
"abdibeei-1","PTS2"
"abdifmmc-1","PTS2"
"abdigijo-1","PTS2"
"abdjedki-1","PTS2"
"abdjmimb-1","PTS2"
"abdjooff-1","PTS2"
"abdkjbmj-1","PTS2"
"abdklclp-1","PTS2"
"abdldpbj-1","PTS2"
"abdllklc-1","PTS2"
"abdloojk-1","PTS2"
"abdlpcac-1","PTS2"
"abdlpgdn-1","PTS2"
"abdmkeoh-1","PTS2"
"abdmlnah-1","PTS2"
"abdmmjni-1","PTS2"
"abdnfahn-1","PTS2"
"abdnpgmi-1","PTS2"
"abdochmp-1","PTS2"
"abdonbcj-1","PTS2"
"abdopeon-1","PTS2"
"abdpccdm-1","PTS2"
"abeaokgi-1","PTS2"
"abeblpbo-1","DCT2"
"abebndfj-1","PTS2"
"abebpplp-1","PTS2"
"abeccpge-1","PTS2"
"abechflb-1","PTS2"
"abecmfao-1","PTS2"
"abecpdpp-1","PTS2"
"abecphgf-1","PTS2"
"abedfnfj-1","PTS2"
"abeeagad-1","PTS2"
"abeeelaj-1","PTS2"
"abeeommk-1","PTS2"
"abefajnc-1","PTS2"
"abefbdpm-1","PTS2"
"abefhjdi-1","PTS2"
"abefhklo-1","PTS2"
"abefkhpe-1","PTS2"
"abefplkj-1","PTS2"
"abegjhdc-1","PTS2"
"abehcpgh-1","PTS2"
"abeidkia-1","PTS2"
"abeikoja-1","PTS2"
"abeipifa-1","PTS2"
"abejhlbn-1","PTS2"
"abekkgij-1","PTS2"
"abekpfio-1","PTS2"
"abelmdie-1","PTS2"
"abemfobc-1","PTS2"
"abenggbd-1","PTS2"
"abepenlk-1","PTS2"
"abepkioa-1","PTS2"
"abepnnji-1","PTS2"
"abfackjb-1","PTS2"
"abfbbfmp-1","PTS2"
"abfbebgg-1","PTS2"
"abfbgekk-1","PTS2"
"abfbndog-1","PTS2"
"abfboljd-1","PTS2"
"abfcaipb-1","PTS2"
"abfcfncc-1","PTS2"
"abfcgfni-1","PTS2"
"abfckejk-1","PTS2"
"abfdfjig-1","PTS2"
"abfdmjib-1","PTS2"
"abfeabnp-1","PTS2"
"abfeddei-1","PTS2"
"abfefigb-1","PTS2"
"abffbgjf-1","PTS2"
